abbreviation	full name	smiles
anthranillic acid	anthranilic acid	
2S,3S-diaminobutyric acid	2S,3S-diaminobutyric acid	
(4S)-5,5,5-trichloroleucine	(4S)-5,5,5-trichloroleucine	
3-nitrotyrosine	3-nitrotyrosine	
proline	proline	
2-methylserine	2-methylserine	
2-sulfamoylacetic acid	2-sulfamoylacetic acid	
3,5-dihydroxyphenylglycine	3,5-dihydroxyphenylglycine	
D-aspartic acid branched	D-aspartic acid branched	
3R-hydroxyhomotyrosine	3R-hydroxyhomotyrosine	
2,3-diaminopropionic acid	2,3-diaminopropionic acid	
anthranilic acid	anthranilic acid	
N-(1-propargyl)-tryptophan	N-(1-propargyl)-tryptophan	
2,5-dihydroxy-4-methylpentanoic acid	2,5-dihydroxy-4-methylpentanoic acid	
3-methylleucine	3-methylleucine	
3S-hydroxyleucine	3S-hydroxyleucine	
capreomycidine	capreomycidine	
O-methyltyrosine	O-methyltyrosine	
2R-hydroxyisovaleric acid	2R-hydroxyisovaleric acid	
2-hydroxy-4-methylpentanedioic acid	2-hydroxy-4-methylpentanoic acid	
para-aminobenzoic acid	para-aminobenzoic acid	
R-beta-methylphenylalanine	R-beta-methylphenylalanine	
2-hexenoic acid	2-hexenoic acid	
aMe-phenylalanine	alpha-methylphenylalanine	
5S-methylproline	5S-methylproline	
3-(2-nitrocyclopropylalanine)	3-(2-nitrocyclopropylalanine)	
serine	serine	
histidine	histidine	
3,5-dichloro-4-hydroxyphenylglycine	3,5-dichloro-4-hydroxyphenylglycine	
3R-aminoisobutyric acid	3R-methylbeta-alanine	
4R-hydroxyproline	4R-hydroxyproline	
beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	
enduracididine	enduracididine	
4R-propylproline	4R-propylproline	
phenazine-1-carboxylic acid	phenazine-1-carboxylic acid	
3-hydroxytyrosine	3-hydroxytyrosine	
isovaleric acid	isovaleric acid	
benzoic acid	benzoic acid	
3R-hydroxyaspartic acid	3R-hydroxyaspartic acid	
4R-butenyl-4R-methylthreonine	4R-E-butenyl-4R-methylthreonine	
4-amino-2-hydroxy-3-isopropoxybenzoic acid	4-amino-2-hydroxy-3-isopropoxybenzoic acid	
succinyl-hydrazinoacetic acid	succinyl-hydrazinoacetic acid	
D-glutamic acid branched	D-glutamic acid branched	
allo-isoleucine	allo-isoleucine	
guanidinoacetic acid	guanidinoacetic acid	
4-aminobutyric acid	4-aminobutyric acid	
D-glutamine	D-glutamine	
3R-hydroxy-2,4-diaminobutyric acid	3R-hydroxy-2,4-diaminobutyric acid	
1-aminocyclopropane-1-carboxylic acid (ACC)	1-aminocyclopropane-1-carboxylic acid	
homotyrosine	homotyrosine	
glycine	glycine	
2-chlorobenzoic acid	2-chlorobenzoic acid	
4S-hydroxylysine	4S-hydroxylysine	
phenazine-1,6-dicarboxylic acid	phenazine-1,6-dicarboxylic acid	
fatty acid	fatty acid	
2S-hydroxyisovaleric acid	2S-hydroxyisovaleric acid	
p-hydroxybenzoylformic acid	p-hydroxybenzoylformic acid	
3S-methyl-D-aspartic acid branched	3S-methyl-D-aspartic acid branched	
3R-hydroxyasparagine	3R-hydroxyasparagine	
2-hydroxypent-4-enoic acid	2-hydroxypent-4-enoic acid	
N6-hydroxylysine	N6-hydroxylysine	
3-hydroxybenzoic acid	3-hydroxybenzoic acid	
2,3-dihydroxybenzoic acid	2,3-dihydroxybenzoic acid	
3-hydroxyaspartic acid	3-hydroxyaspartic acid	
4-aminophenylalanine	4-aminophenylalanine	
4S-propenylproline	4S-propenylproline	
dehydrotryptophan	dehydrotryptophan	
3,4-dehydroproline	3,4-dehydroproline	
beta-hydroxyphenylalanine	beta-hydroxyphenylalanine	
3-hydroxypicolinic acid	3-hydroxypicolinic acid	
dimethylsulfoniopropionic acid	dimethylsulfoniopropionic acid	
lactic acid	lactic acid	
citrulline	citrulline	
3R-methyl-D-aspartic acid branched	3R-methyl-D-aspartic acid branched	
hydroxyproline	hydroxyproline	
3-hydroxyasparagine	3-hydroxyasparagine	
3-hydroxy-4-methylproline	3-hydroxy-4-methylproline	
4-bromophenylalanine	4-bromophenylalanine	
3-(3-pyridyl)-alanine	3-(3-pyridyl)-alanine	
4-hydroxy-D-kynurenine	4-hydroxy-D-kynurenine	
N1-methoxytryptophan	N1-methoxytryptophan	
(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	
hexanoic acid	hexanoic acid	
coumaric acid	coumaric acid	
R-aza-beta-tyrosine	R-aza-beta-tyrosine	
(2S, 8S)-2-amino-8-hydroxydecanoic	2S-amino-8S-hydroxydecanoic acid	
R-beta-tyrosine	R-beta-tyrosine	
3S,4R-dichloroproline	3S,4R-dichloroproline	
D-leucine	D-leucine	
quinoxaline-2-carboxylic acid	quinoxaline-2-carboxylic acid	
beta-lysine	beta-lysine	
N-hydroxyvaline	N-hydroxyvaline	
3,4-dihydroxybenzoic acid	3,4-dihydroxybenzoic acid	
S-beta-hydroxycyclohex-2S-enylalanine	S-beta-hydroxycyclohex-2S-enylalanine	
